TC_NUMBER,TEST_DESC,PRIORITY,STEPNUMBER,LABEL,PROTOCOL,METHOD,API_URL,API_RESOUCES,API_DATA,HEADER,EXPECTED_RESPONSE_CODE,EXPECTED_RESPONSE_MESSAGE,EXPECTED_RESPONSE_DATA,REPONSE_VALUE_EXTRACTION,EXTRACTED_VALUE,GATEWAY_IP,GATEWAY_PORT,WAIT_TIME_SEC,USER_METHOD
ID-MA-12427,Create a new Organization,P1,1,CreateOrganization,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"": ""mutation { addOrganization(organization: {name: \""apiOrgAuto1\""}) { id name } }""}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-CreateOrganization-run.json,,)}",$.data.addOrganization.id,org_id,,,,
ID-MA-12428,Create a new customer team,P1,1,CreateCustomer,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"": ""mutation {   addCustomer(customer: {name:  \""apiCustomerAuto1\""}){  id  name}}""}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-CreateCustomer-run.json,,)}",$.data.addCustomer.id,customer_id,,,,
ID-MA-12429,Create a new Machine Type,P1,1,CreateMacType,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"": ""mutation { addMachineType(machineType: {name: \""apiTypeAuto1\""}) { id name } }""}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-CreateMacType-run.json,,)}",$.data.addMachineType.id,mac_type_id,,,,
ID-MA-12441,Create a new Machine,P1,1,CreateMachine,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation addMachine($machine: MachineInput!, $location: LocationInput!) {\r\n  addMachine(machine: $machine, location: $location) {\r\n    id\r\n    name\r\n  }\r\n}"",""variables"":{""machine"":{""name"":""apiMachineAuto1"",""machineType"":""${mac_type_id}"",""customer"":""${customer_id}""},""location"":{""point"":{""lat"":12.96991,""lon"":77.59796}}}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-CreateMachine-run.json,,)}",$.data.addMachine.id,mac_id,,,,
ID-MA-12464,Create New Task,P1,1,CreateTask,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation addTask($task: TaskInput!) {addTask(task: $task) {  id}}  "",""variables"":{""task"":{""title"":""ApiAutoTask"",""description"":""Task from Api Automation"",""machineType"":""${mac_type_id}""}}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-CreateTask-run.json,,)}",$.data.addTask.id,task_id,,,,
ID-MA-12477,Set purchaser for Organization,P1,1,SetPurchaser,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation setOrganizationPurchaser { setOrganizationPurchaser   { id    name    purchaser {  id    }  }} "",""variables"":{}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-SetPurchaser-run.json,,)}",$.data.setOrganizationPurchaser.id;$.data.setOrganizationPurchaser.purchaser.id,org_p_id;purchaser_id,,,,
ID-MA-12478,Select Sample Data for Machine,P1,1,SelectSampleData,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation switchToSampleData($machineId: ID!) {  switchToSampleData(machineId: $machineId) {    id  }} "",""variables"":{""machineId"":""${mac_id}""}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-SelectSampleData-run.json,,)}",,,,,,
ID-MA-12538,Create Dashboard with Sample Data for Machine,P1,1,CreateDashboard,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation createDashboard($machineId: ID!, $name: ShortString!, $access: DashboardAccessType!) {  createDashboardForMachine(machineId: $machineId, dashboardName: $name, access: $access) {    id    name    access    isOwner    isEditable    publishedDashboard     {      publishedId    }  }}"",""variables"":{""machineId"":""${mac_id}"",""name"":""apiAutoDashboard"",""access"":""Editable""}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-CreateDashboard-run.json,,)}",$.data.createDashboardForMachine.id,dashboard_Id,,,,
ID-MA-12535,Add Gauge Widget for Machine,P1,1,AddGaugeWidget,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation createDashboardWidget($dashboardId: ID!, $widgetType: WidgetType!, $position: LayoutPositionInput, $size: LayoutSizeInput, $title: ShortString!) {  createWidgetForDashboard(dashboardId: $dashboardId, widgetType: $widgetType, position: $position, size: $size, title: $title) {    id    type    title  }}"",""variables"":{""dashboardId"":""${dashboard_Id}"",""widgetType"":""GAUGE"",""position"":{""x"":0,""y"":2},""size"":{""rows"":2,""columns"":2},""title"":""Gauge""}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-AddGaugeWidget-run.json,,)}",$.data.createWidgetForDashboard.id,gauge_Id,,,,
ID-MA-12539,Add Value Widget for Machine,P1,1,AddValueWidget,https,POST,${MA_BASE_URL},${MA_ENDPOINT},"{""query"":""mutation createDashboardWidget($dashboardId: ID!, $widgetType: WidgetType!, $position: LayoutPositionInput, $size: LayoutSizeInput, $title: ShortString!) {  createWidgetForDashboard(dashboardId: $dashboardId, widgetType: $widgetType, position: $position, size: $size, title: $title) {    id    type    title  }}"",""variables"":{""dashboardId"":""${dashboard_Id}"",""widgetType"":""VALUE"",""position"":{""x"":0,""y"":0},""size"":{""rows"":2,""columns"":2},""title"":""Value""}}","Content-Type: application/json,accept: application/json,Authorization: ${token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}/responseData/response-AddValueWidget-run.json,,)}",$.data.createWidgetForDashboard.id,value_Id,,,,
