TC_NUMBER,TEST_DESC,PRIORITY,STEPNUMBER,LABEL,PROTOCOL,METHOD,API_URL,API_RESOUCES,API_DATA,HEADER,EXPECTED_RESPONSE_CODE,EXPECTED_RESPONSE_MESSAGE,EXPECTED_RESPONSE_DATA,REPONSE_VALUE_EXTRACTION,EXTRACTED_VALUE,GATEWAY_IP,GATEWAY_PORT,WAIT_TIME_SEC
IplProofTests-TC001,IplProofTests,P1,1,IplProofTests,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests,,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,,,,,, 
IplProofTests-TC002,IplProofTests filter by IPL name,P1,1,IplProofTests filter by IPL name,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests?$filter=Name eq 'Alarm1',,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-IplProofTests filter by IPL name-run.json,,)}",,,,,
IplProofTests-TC003,IplProofTests filter by IPL type - Alarm,P1,1,IplProofTests filter by IPL type - Alarm,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests?$filter=Type eq 'Alarm',,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-IplProofTests filter by IPL type - Alarm-run.json,,)}",,,,,
IplProofTests-TC004,IplProofTests filter by IPL type - BPCS,P1,1,IplProofTests filter by IPL type - BPCS,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests?$filter=Type eq 'BPCS',,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-IplProofTests filter by IPL type - BPCS-run.json,,)}",,,,,
IplProofTests-TC005,IplProofTests filter by IPL type - Mechanical Device,P1,1,IplProofTests filter by IPL type - Mechanical Device,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests?$filter=Type eq 'MechanicalDevice',,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-IplProofTests filter by IPL type - Mechanical Device-run.json,,)}",,,,,
IplProofTests-TC006,IplProofTests filter by IPL type - SIF,P1,1,IplProofTests filter by IPL type - SIF,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests?$filter=Type eq 'SIF',,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-IplProofTests filter by IPL type - SIF-run.json,,)}",,,,,
IplProofTests-TC007,IplProofTests filter by IPL status - Scheduled,P1,1,IplProofTests filter by IPL status - Scheduled,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests?$filter=Status eq 'Scheduled',,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-IplProofTests filter by IPL status - Scheduled-run.json,,)}",,,,,
IplProofTests-TC008,IplProofTests filter by IPL status - Completed,P1,1,IplProofTests filter by IPL status - Completed,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests?$filter=Status eq 'Completed',,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-IplProofTests filter by IPL status - Completed-run.json,,)}",,,,,
IplProofTests-TC009,IplProofTests filter by IPL status - Abandoned,P1,1,IplProofTests filter by IPL status - Abandoned,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests?$filter=Status eq 'Abandoned',,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-IplProofTests filter by IPL status - Abandoned-run.json,,)}",,,,,
IplProofTests-TC010,IplProofTests filter by IPL test result - Success,P1,1,IplProofTests filter by IPL test result - Success,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests?$filter=Result eq 'Success',,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-IplProofTests filter by IPL test result - Success-run.json,,)}",,,,,
IplProofTests-TC011,IplProofTests filter by IPL Overdue - false,P1,1,IplProofTests filter by IPL Overdue - false,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests?$filter=Overdue eq false,,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-IplProofTests filter by IPL Overdue - false-run.json,,)}",,,,,
IplProofTests-TC012,IplProofTests filter by IPL Overdue - true,P1,2,IplProofTests filter by IPL Overdue - true,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests?$filter=Overdue eq true,,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-IplProofTests filter by IPL Overdue - true-run.json,,)}",,,,,
IplProofTests-TC013,IplProofTests filter by IPL Deferred - false,P1,1,IplProofTests filter by IPL Deferred - false,https,GET,${BASE_URL},${SA_ENDPOINT}/IplProofTests?$filter=Deferred eq false,,"Content-type:application/json;charset=UTF-8,
Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-IplProofTests filter by IPL Deferred - false-run.json,,)}",,,,,
