TC_NUMBER,TEST_DESC,PRIORITY,STEPNUMBER,LABEL,PROTOCOL,METHOD,API_URL,API_RESOUCES,API_DATA,HEADER,EXPECTED_RESPONSE_CODE,EXPECTED_RESPONSE_MESSAGE,EXPECTED_RESPONSE_DATA,REPONSE_VALUE_EXTRACTION,EXTRACTED_VALUE,GATEWAY_IP,GATEWAY_PORT,WAIT_TIME_SEC
TRIPS-TC1748,Total No of Trips Events,P1,1,Total No of Trips Events,https,GET,${BASE_URL},${SA_ENDPOINT}/Trips,,"Content-type: application/x-www-form-urlencoded,Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-Total No of Trips Events-run.json,,)}",,,,,
TRIPS-TC1749,Trips filter by Not Investigated,P1,1,Trips filter by Not Investigated,https,GET,${BASE_URL},${SA_ENDPOINT}/Trips?$filter=AnalysisState eq 1,,"Content-type: application/x-www-form-urlencoded,Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-Trips filter by Not Investigated-run.json,,)}
",,,,,
TRIPS-TC1750,Trips filter by Investigation State Under Analysis,P1,1,Trips filter by Investigation State Under Analysis,https,GET,${BASE_URL},${SA_ENDPOINT}/Trips?$filter=AnalysisState eq 2,,"Content-type: application/x-www-form-urlencoded,Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-Trips filter by Investigation State Under Analysis-run.json,,)}
",,,,,
TRIPS-TC1751,Trips filter by Investigation State Fixed,P1,1,Trips filter by Investigation State Fixed,https,GET,${BASE_URL},${SA_ENDPOINT}/Trips?$filter=AnalysisState eq 5,,"Content-type: application/x-www-form-urlencoded,Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-Trips filter by Investigation State Fixed-run.json,,)}
",,,,,
TRIPS-TC1752,Trips filter by Investigation State Abandoned,P1,1,Trips filter by Investigation State Abandoned,https,GET,${BASE_URL},${SA_ENDPOINT}/Trips?$filter=AnalysisState eq 6,,"Content-type: application/x-www-form-urlencoded,Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-Trips filter by Investigation State Abandoned-run.json,,)}
",,,,,
TRIPS-TC1753,Trips filter by Investigation State Ignored,P1,1,Trips filter by Investigation State Ignored,https,GET,${BASE_URL},${SA_ENDPOINT}/Trips?$filter=AnalysisState eq 7,,"Content-type: application/x-www-form-urlencoded,Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-Trips filter by Investigation State Ignored-run.json,,)}
",,,,,
TRIPS-TC1754,Trips filter by Investigation State Resolved,P1,1,Trips filter by Investigation State Resolved,https,GET,${BASE_URL},${SA_ENDPOINT}/Trips?$filter=AnalysisState eq 12,,"Content-type: application/x-www-form-urlencoded,Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-Trips filter by Investigation State Resolved-run.json,,)}
",,,,,
TRIPS-TC1949,Trips filter by Investigation State Signed Off,P1,1,Trips filter by Investigation State Signed Off,https,GET,${BASE_URL},${SA_ENDPOINT}/Trips?$filter=AnalysisState eq 14,,"Content-type: application/x-www-form-urlencoded,Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-Trips filter by Investigation State Signed Off-run.json,,)}
",,,,,
TRIPS-TC1755,Trips filter by Behavior Not Investigated,P1,1,Trips filter by Behavior Not Investigated,https,GET,${BASE_URL},${SA_ENDPOINT}/Trips?$filter=Behavior eq 1,,"Content-type: application/x-www-form-urlencoded,Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-Trips filter by Behavior Not Investigated-run.json,,)}
",,,,,
TRIPS-TC1756,Trips filter by Behavior Success on demand,P1,1,Trips filter by Behavior Success on demand,https,GET,${BASE_URL},${SA_ENDPOINT}/Trips?$filter=Behavior eq 4,,"Content-type: application/x-www-form-urlencoded,Authorization:${Auth_Token}",200,OK,"${__FileToString(${FRAMEWORK_PATH}${TEST_CASE_LOCATION}\responseData\response-Trips filter by Behavior Success on demand-run.json,,)}
",,,,,
