TC_NUMBER,TEST_DESC,PRIORITY,STEPNUMBER,LABEL,PROTOCOL,METHOD,API_URL,API_RESOUCES,API_DATA,HEADER,EXPECTED_RESPONSE_CODE,EXPECTED_RESPONSE_MESSAGE,EXPECTED_RESPONSE_DATA,REPONSE_VALUE_EXTRACTION,EXTRACTED_VALUE,GATEWAY_IP,GATEWAY_PORT,WAIT_TIME_SEC,USER_METHOD
ID-TC-001,test graph QL query 1,P1,1,MeProfile,https,POST,${MA_BASE_URL},,"{""operationName"":""MeProfile"",""variables"":{},""query"":""query MeProfile {\n  me {\n    ...Me\n    __typename\n  }\n}\n\nfragment Me on User {\n  id\n  ...User\n  mySelectedOrganization {\n    id\n    name\n    theme {\n      navbarColor\n      themeId\n      colors {\n        primary\n        second\n        third\n        __typename\n      }\n      __typename\n    }\n    logoUrl\n    admins {\n      id\n      __typename\n    }\n    members {\n      id\n      __typename\n    }\n    purchaser {\n      id\n      __typename\n    }\n    __typename\n  }\n  myOrganizationRoles\n  myOrganizations {\n    id\n    name\n    __typename\n  }\n  myCustomerOrganizations {\n    id\n    name\n    __typename\n  }\n  myCustomers {\n    id\n    __typename\n  }\n  myTeamInvitations {\n    ...TeamInvitation\n    organizationName\n    customerName\n    teamId\n    __typename\n  }\n  profile {\n    email\n    __typename\n  }\n  isBetaApproved\n  hasAcceptedSLA\n  daasBetaAccess {\n    ...BetaAccessBaseFields\n    __typename\n  }\n  personalAccessTokens {\n    ...PersonalAccessToken\n    __typename\n  }\n  __typename\n}\n\nfragment User on User {\n  id\n  email\n  profile {\n    name\n    company\n    phoneNumber\n    picture\n    isSchneider\n    address {\n      country\n      __typename\n    }\n    __typename\n  }\n  demoOrganization\n  activeSessionsCount\n  startGoDigitalEnrollment\n  isSuperUser\n  isAdminAppApprover\n  isDeviceApprover\n  notifications {\n    email\n    sms\n    applications {\n      application {\n        id\n        __typename\n      }\n      notifyBy\n      __typename\n    }\n    __typename\n  }\n  preferences {\n    displayTime\n    __typename\n  }\n  adminRoles {\n    appTypeApprover\n    deviceCatalogApprover\n    daasApprover\n    translator\n    __typename\n  }\n  myOrganizations {\n    id\n    __typename\n  }\n  myMachines {\n    id\n    __typename\n  }\n  __typename\n}\n\nfragment TeamInvitation on TeamInvitation {\n  id\n  invitedUserEmail\n  __typename\n}\n\nfragment BetaAccessBaseFields on DaasBetaAccess {\n  id\n  requestType\n  state\n  resolvedAt\n  requestedAt\n  comment\n  __typename\n}\n\nfragment PersonalAccessToken on PersonalAccessToken {\n  id\n  name\n  organization {\n    id\n    name\n    __typename\n  }\n  type {\n    access\n    __typename\n  }\n  state\n  createdAt\n  __typename\n}\n""}","Api-Version: application/json,Origin: https://prev.machine-advisor.com,Content-Type: application/json,Referer: https://prev.machine-advisor.com/fleet",200,OK,,,,,,,
ID-TC-002,test graph QL query 2,P1,1,getActiveBanner,https,POST,${MA_BASE_URL},,"{""operationName"":""getActiveBanner"",""variables"":{},""query"":""query getActiveBanner {\n  activeBanner {\n    ...Banner\n    __typename\n  }\n}\n\nfragment Banner on Banner {\n  id\n  content\n  mobileContent\n  backgroundColor\n  canClose\n  numOfRepeat\n  state\n  version\n  redirect {\n    name\n    url\n    __typename\n  }\n  __typename\n}\n""}","Api-Version: application/json,Origin: https://prev.machine-advisor.com,Content-Type: application/json,Referer: https://prev.machine-advisor.com/fleet",200,OK,,,,,,,
ID-TC-003,test graph QL query 3,P1,1,myNotifications,https,POST,${MA_BASE_URL},,"{""operationName"":""myNotifications"",""variables"":{""limit"":50,""customerId"":null,""allTeams"":true,""month"":""2020-09-07T09:17:42.141Z""},""query"":""query myNotifications($limit: Int!, $allTeams: Boolean!, $customerId: ID, $month: ShortString, $cursor: ID) {\n  me {\n    id\n    myNotifications(limit: $limit, allTeams: $allTeams, customerId: $customerId, month: $month, cursor: $cursor) {\n      ...ActivityLogPage\n      __typename\n    }\n    __typename\n  }\n}\n\nfragment ActivityLogPage on ActivityLogPage {\n  nextCursor\n  hasMore\n  activities {\n    ...ActivityLog\n    __typename\n  }\n  __typename\n}\n\nfragment ActivityLog on ActivityLog {\n  id\n  title\n  when\n  operation\n  description\n  message\n  replaceDate\n  type\n  createdBy {\n    id\n    profile {\n      name\n      picture\n      __typename\n    }\n    __typename\n  }\n  target {\n    type\n    id\n    name\n    logoUrl\n    __typename\n  }\n  __typename\n}\n""}","Api-Version: application/json,Origin: https://prev.machine-advisor.com,Content-Type: application/json,Referer: https://prev.machine-advisor.com/fleet",200,OK,,,,,,,
ID-TC-004,test graph QL query 4,P1,1,locationsList,https,POST,${MA_BASE_URL},,"{""operationName"":""locationsList"",""variables"":{},""query"":""query locationsList {\n  me {\n    id\n    myLocations {\n      id\n      address {\n        city\n        country\n        street\n        formattedAddress\n        __typename\n      }\n      coords {\n        lat\n        lon\n        __typename\n      }\n      machinesCount\n      isAutoGeolocation\n      __typename\n    }\n    __typename\n  }\n}\n""}","Api-Version: application/json,Origin: https://prev.machine-advisor.com,Content-Type: application/json,Referer: https://prev.machine-advisor.com/fleet",200,OK,,,,,,,
ID-TC-005,test graph QL query 5,P1,1,locationsWithMachines,https,POST,${MA_BASE_URL},,"{""operationName"":""locationsWithMachines"",""variables"":{""defaultLocation"":false},""query"":""query locationsWithMachines($defaultLocation: Boolean = false) {\n  me {\n    id\n    myLocations(defaultLocation: $defaultLocation) {\n      id\n      machines {\n        id\n        name\n        isEditable\n        isTemplate\n        location {\n          id\n          address {\n            city\n            __typename\n          }\n          __typename\n        }\n        machineType {\n          id\n          name\n          logoUrl\n          __typename\n        }\n        customer {\n          id\n          name\n          __typename\n        }\n        organization {\n          id\n          name\n          __typename\n        }\n        __typename\n      }\n      __typename\n    }\n    __typename\n  }\n}\n""}","Api-Version: application/json,Origin: https://prev.machine-advisor.com,Content-Type: application/json,Referer: https://prev.machine-advisor.com/fleet",200,OK,,,,,,,
ID-TC-006,test graph QL query 6,P1,1,withOfflineWarnings,https,POST,${MA_BASE_URL},,"{""operationName"":""withOfflineWarnings"",""variables"":{},""query"":""query withOfflineWarnings {\n  me {\n    id\n    myLocations {\n      id\n      machines {\n        id\n        hasActiveWarning\n        isOffline\n        __typename\n      }\n      __typename\n    }\n    __typename\n  }\n}\n""}","Api-Version: application/json,Origin: https://prev.machine-advisor.com,Content-Type: application/json,Referer: https://prev.machine-advisor.com/fleet",200,OK,,,,,,,
ID-TC-007,test graph QL query 7,P1,1,myCustomerAndTypesList,https,POST,${MA_BASE_URL},,"{""operationName"":""myCustomersAndTypesList"",""variables"":{},""query"":""query myCustomersAndTypesList {\n  me {\n    id\n    myCustomers {\n      id\n      name\n      __typename\n    }\n    myMachineTypes {\n      id\n      name\n      __typename\n    }\n    __typename\n  }\n}\n""}","Api-Version: application/json,Origin: https://prev.machine-advisor.com,Content-Type: application/json,Referer: https://prev.machine-advisor.com/fleet",200,OK,,,,,,,
ID-TC-008,test graph QL query 8,P1,1,machineActivityLogs,https,POST,${MA_BASE_URL},,"{""operationName"":""machineActivityLogs"",""variables"":{""cursor"":null,""id"":""4bcd969ef17ac998700142e7"",""limit"":50},""query"":""query machineActivityLogs($id: ID!, $cursor: ID, $limit: Int, $types: [EventType], $month: ShortString) {\n  machine(id: $id) {\n    id\n    activityLog(cursor: $cursor, limit: $limit, month: $month, types: $types) {\n      ...ActivityLogPage\n      __typename\n    }\n    __typename\n  }\n}\n\nfragment ActivityLogPage on ActivityLogPage {\n  nextCursor\n  hasMore\n  activities {\n    ...ActivityLog\n    __typename\n  }\n  __typename\n}\n\nfragment ActivityLog on ActivityLog {\n  id\n  title\n  when\n  operation\n  description\n  message\n  replaceDate\n  type\n  createdBy {\n    id\n    profile {\n      name\n      picture\n      __typename\n    }\n    __typename\n  }\n  target {\n    type\n    id\n    name\n    logoUrl\n    __typename\n  }\n  __typename\n}\n""}","Api-Version: application/json,Origin: https://prev.machine-advisor.com,Content-Type: application/json,Referer: https://prev.machine-advisor.com/fleet",200,OK,,,,,,,
ID-TC-009,test graph QL query 9,P1,1,dashboardsByMachine,https,POST,${MA_BASE_URL},,"{""operationName"":""dashboardsByMachine"",""variables"":{""machineId"":""4bcd969ef17ac998700142e7""},""query"":""query dashboardsByMachine($machineId: ID!) {\n  machine(id: $machineId) {\n    id\n    name\n    isTemplate\n    appNeedAttention\n    isEditable\n    organization {\n      id\n      name\n      logoUrl\n      theme {\n        themeId\n        navbarColor\n        __typename\n      }\n      __typename\n    }\n    customer {\n      id\n      admins {\n        id\n        __typename\n      }\n      __typename\n    }\n    machineType {\n      id\n      name\n      __typename\n    }\n    location {\n      id\n      isAutoGeolocation\n      updatedAt\n      address {\n        formattedAddress\n        __typename\n      }\n      __typename\n    }\n    monitor {\n      accessState\n      dashboards {\n        ...Dashboard\n        __typename\n      }\n      templateDashboards {\n        ...Dashboard\n        __typename\n      }\n      hiddenDashboards\n      __typename\n    }\n    __typename\n  }\n}\n\nfragment Dashboard on Dashboard {\n  id\n  name\n  access\n  isOwner\n  isEditable\n  publishedDashboard {\n    publishedId\n    __typename\n  }\n  __typename\n}\n""}","Api-Version: application/json,Origin: https://prev.machine-advisor.com,Content-Type: application/json,Referer: https://prev.machine-advisor.com/fleet",200,OK,,,,,,,
ID-TC-010,test graph QL query 10,P1,1,dashboardWidgetsByMachine,https,POST,${MA_BASE_URL},,"{""operationName"":""dashboardWidgetsByMachine"",""variables"":{""machineId"":""4bcd969ef17ac998700142e7"",""dashboardId"":""b8236b94ab9e932673cb7722""},""query"":""query dashboardWidgetsByMachine($machineId: ID!, $dashboardId: ID!) {\n  machine(id: $machineId) {\n    id\n    monitor {\n      dashboards(id: $dashboardId) {\n        id\n        name\n        layout {\n          ...Widget\n          __typename\n        }\n        machine {\n          id\n          __typename\n        }\n        isEditable\n        __typename\n      }\n      __typename\n    }\n    isTemplate\n    __typename\n  }\n}\n\nfragment Widget on Widget {\n  id\n  position {\n    x\n    y\n    __typename\n  }\n  size {\n    columns\n    rows\n    __typename\n  }\n  type\n  title\n  image\n  variables\n  colors {\n    variableName\n    color\n    __typename\n  }\n  defaultColor\n  colorRanges {\n    color\n    value\n    variable\n    condition\n    __typename\n  }\n  config {\n    configName\n    configValue\n    configRange {\n      start\n      end\n      color\n      __typename\n    }\n    __typename\n  }\n  textSettings {\n    label\n    variableName\n    labelPosition {\n      x\n      y\n      __typename\n    }\n    variablePosition {\n      x\n      y\n      __typename\n    }\n    labelColor\n    variableColor\n    labelFontSize\n    variableFontSize\n    __typename\n  }\n  tableSettings {\n    name\n    variables {\n      name\n      variableName\n      color\n      __typename\n    }\n    __typename\n  }\n  __typename\n}\n""}","Api-Version: application/json,Origin: https://prev.machine-advisor.com,Content-Type: application/json,Referer: https://prev.machine-advisor.com/fleet",200,OK,,,,,,,
