TC_NUMBER,TEST_DESC,PRIORITY,STEPNUMBER,LABEL,PROTOCOL,METHOD,API_URL,API_RESOURCES,API_DATA,HEADER,EXPECTED_RESPONSE_CODE,EXPECTED_RESPONSE_MESSAGE,EXPECTED_RESPONSE_DATA,REPONSE_VALUE_EXTRACTION,EXTRACTED_VALUE,GATEWAY_IP,GATEWAY_PORT,WAIT_TIME_SEC
CONTROL_LINK_01,Set Light Level for StreetLight with invalid site_id,P1,1,Set Light Level for StreetLight with invalid site_id,https,POST,${SA_BASE_URL},${SA_ENDPOINT}/abchd;lkajkhfhdjjkd/setlightlevelforstreetlight,"{
	""Level"":		""10"",
	""ResetInHours"":	""0.5"",
	""ExternalId"":	""d2c615f9-4d8f-4e5b-861d-a0f2056810c1""
}","Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",404,Not Found,,,,,,
CONTROL_LINK_02,Set Light Level for StreetLight with negative light level,P1,1,Set Light Level for StreetLight with negative light level,https,POST,${SA_BASE_URL},${SA_ENDPOINT}/${SA_PROJECT_ID}/setlightlevelforstreetlight,"{
	""Level"":		""-1"",
	""ResetInHours"":	""0.5"",
	""ExternalId"":	""71507f22-9cc5-4aac-a6a6-9c70fcb21859""
}","Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",400,Bad Request,,,,,,
CONTROL_LINK_03,Set Light Level for StreetLight with light level out of bound,P1,1,Set Light Level for StreetLight with light level out of bound,https,POST,${SA_BASE_URL},${SA_ENDPOINT}/${SA_PROJECT_ID}/setlightlevelforstreetlight,"{
	""Level"":		""107"",
	""ResetInHours"":	""0.5"",
	""ExternalId"":	""71507f22-9cc5-4aac-a6a6-9c70fcb21859""
}","Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",400,Bad Request,,,,,,
CONTROL_LINK_04,Set Light Level for StreetLight with time out of bound,P1,1,Set Light Level for StreetLight with time out of bound,https,POST,${SA_BASE_URL},${SA_ENDPOINT}/${SA_PROJECT_ID}/setlightlevelforstreetlight,"{
	""Level"":		""100"",
	""ResetInHours"":	""25"",
	""ExternalId"":	""71507f22-9cc5-4aac-a6a6-9c70fcb21859""
}","Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",400,Bad Request,,,,,,
CONTROL_LINK_05,Set Light Level for StreetLight with time out of bound lower range,P1,1,Set Light Level for StreetLight with time out of bound lower range,https,POST,${SA_BASE_URL},${SA_ENDPOINT}/${SA_PROJECT_ID}/setlightlevelforstreetlight,"{
	""Level"":		""100"",
	""ResetInHours"":	""0.4"",
	""ExternalId"":	""71507f22-9cc5-4aac-a6a6-9c70fcb21859""
}","Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",400,Bad Request,,,,,,
CONTROL_LINK_06,Set Light Level for StreetLight with invalid external id,P1,1,Set Light Level for StreetLight with invalid external id,https,POST,${SA_BASE_URL},${SA_ENDPOINT}/${SA_PROJECT_ID}/setlightlevelforstreetlight,"{
	""Level"":		""100"",
	""ResetInHours"":	""0.5"",
	""ExternalId"":	""71507f22-9cc5-4aac-a6a6-9c70fcffgf21859""
}","Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",400,Bad Request,,,,,,
CONTROL_LINK_07,Reset Light Level for StreetLight with invalid external id,P1,1,Reset Light Level for StreetLight with invalid external id,https,POST,${SA_BASE_URL},${SA_ENDPOINT}/${SA_PROJECT_ID}/resetstreetlight,"{
	""ExternalId"": ""71507f22-9cc5-4aacdhfgg-a6a6-9c70fcb21859""
}","Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",400,Bad Request,,,,,,
CONTROL_LINK_08,Set Light Level for Group with invalid site_id,P2,1,Set Light Level for Group with invalid site_id,https,POST,${SA_BASE_URL},${SA_ENDPOINT}/abchd;lkajkhfhdjjkd/setlightlevelforgroup/,"{
	""Level"":		""100"",
	""ResetInHours"": ""0.5"",
	""GroupName"":	""MyGroup""
}","Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",404,Not Found,,,,,,
CONTROL_LINK_09,Set Light Level for Group with negative light level,P1,1,Set Light Level for Group with negative light level,https,POST,${SA_BASE_URL},${SA_ENDPOINT}/${SA_PROJECT_ID}/setlightlevelforgroup/,"{
	""Level"":		""-1"",
	""ResetInHours"": ""0.5"",
	""GroupName"":	""MyGroup""
}","Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",400,Bad Request,,,,,,
CONTROL_LINK_10,Set Light Level for Group with light level out of bound,P1,1,Set Light Level for Group with light level out of bound,https,POST,${SA_BASE_URL},${SA_ENDPOINT}/${SA_PROJECT_ID}/setlightlevelforgroup/,"{
	""Level"":		""104"",
	""ResetInHours"": ""0.5"",
	""GroupName"":	""MyGroup""
}","Content-type: application/json,Accept-Encoding:gzip, deflate, br,Accept:*/*",400,Bad Request,,,,,,
